State,pop2022,pop2010,GrowthRate
California,9934710,9823250,0.0113
Illinois,5085050,5199020,-0.0219
Texas,4813160,4107670,0.1717
Arizona,4734450,3825110,0.2377
California,3351740,3103210,0.0801
California,3174850,3015170,0.053
Florida,2723200,2506970,0.0863
Texas,2654010,2372990,0.1184
California,2544820,2201580,0.1559
New York,2505390,2509830,-0.0018
Nevada,2388520,1952590,0.2233
Washington,2326040,1938350,0.2
California,2220080,2040850,0.0878
New York,2191620,2234700,-0.0193
Texas,2165720,1817480,0.1916
Texas,2070660,1722840,0.2019
Florida,1972790,1752800,0.1255
California,1914400,1786040,0.0719
Michigan,1734010,1815080,-0.0447
California,1685050,1512990,0.1137
New York,1627660,1588770,0.0245
Massachusetts,1621390,1507680,0.0754
California,1591990,1421380,0.12
Pennsylvania,1585480,1528280,0.0374
Florida,1538450,1323620,0.1623
Florida,1532120,1233500,0.2421
New York,1463910,1494340,-0.0204
Florida,1429190,1148560,0.2443
New York,1376570,1387300,-0.0077
Texas,1356100,1030500,0.316
New York,1355090,1341670,0.01
Ohio,1343930,1166200,0.1524
Minnesota,1289600,1154190,0.1173
Michigan,1260250,1203110,0.0475
Ohio,1215130,1278090,-0.0493
Pennsylvania,1212340,1223960,-0.0095
Utah,1195670,1032980,0.1575
North Carolina,1173220,906870,0.2937
California,1162550,1052540,0.1045
North Carolina,1160170,923242,0.2566
Virginia,1144740,1086160,0.0539
Texas,1126000,787614,0.4296
Georgia,1105360,925632,0.1942
Arizona,1079450,981620,0.0997
Maryland,1057320,975602,0.0838
California,1020550,932039,0.095
Missouri,991163,998840,-0.0077
Florida,985064,865628,0.138
Indiana,982228,904591,0.0858
Florida,980810,916412,0.0703
Texas,972605,666760,0.4587
New York,965385,950601,0.0156
Georgia,962989,808007,0.1918
Hawaii,958678,956285,0.0025
Wisconsin,941997,948285,-0.0066
Connecticut,941415,919355,0.024
Tennessee,939569,928447,0.012
Washington,938652,795390,0.1801
New Jersey,930360,906284,0.0266
California,919534,840996,0.0934
New York,915657,919152,-0.0038
Illinois,909943,917983,-0.0088
Maryland,908451,866419,0.0485
Connecticut,889140,895236,-0.0068
Texas,887934,779149,0.1396
California,884108,805505,0.0976
Texas,882509,590253,0.4951
Michigan,877503,841352,0.043
Washington,849155,715500,0.1868
Connecticut,848115,863357,-0.0177
Texas,846477,803576,0.0534
Pennsylvania,842888,800874,0.0525
California,839598,825097,0.0176
Massachusetts,835326,800391,0.0436
Maryland,825903,806656,0.0239
Oregon,824204,737276,0.1179
Ohio,823557,802278,0.0265
New Jersey,821732,810758,0.0135
Florida,818898,620449,0.3198
Oklahoma,817957,720762,0.1349
Massachusetts,806187,725772,0.1108
New Jersey,800190,784037,0.0206
Massachusetts,791587,745461,0.0619
California,791119,687127,0.1513
Florida,779317,603102,0.2922
Georgia,772470,692443,0.1156
Georgia,772354,689495,0.1202
Kentucky,762725,742054,0.0279
California,760249,719699,0.0563
Colorado,760049,603359,0.2597
Colorado,745345,627031,0.1887
New York,738488,744580,-0.0082
District of Columbia,718355,605226,0.1869
Massachusetts,717410,673019,0.066
Missouri,709692,674845,0.0516
Tennessee,705028,627746,0.1231
Illinois,689525,678824,0.0158
Illinois,687379,704170,-0.0238
New Mexico,682382,663923,0.0278
Utah,680380,519998,0.3084
New Jersey,673771,635652,0.06
Colorado,670969,574747,0.1674
Michigan,667770,602975,0.1075
Oklahoma,663159,604973,0.0962
Texas,662815,426287,0.5549
Texas,660254,459208,0.4378
Alabama,656005,658215,-0.0034
Rhode Island,644865,627838,0.0271
Pennsylvania,629644,625385,0.0068
New Jersey,624310,577564,0.0809
Florida,622159,543965,0.1437
Oregon,615656,531638,0.158
Kansas,615223,545655,0.1275
New Jersey,613803,630461,-0.0264
Florida,598518,465487,0.2858
Colorado,593348,535548,0.1079
Maryland,590367,539284,0.0947
Nebraska,586135,518574,0.1303
Florida,574833,494440,0.1626
Pennsylvania,571295,558981,0.022
Massachusetts,568592,549166,0.0354
Maryland,566631,620915,-0.0874
Delaware,562362,538752,0.0438
Wisconsin,560936,489218,0.1466
California,558262,515145,0.0837
New Jersey,556158,537369,0.035
Minnesota,554668,509387,0.0889
Pennsylvania,550989,520319,0.0589
North Carolina,550875,489618,0.1251
Washington,550383,472081,0.1659
South Carolina,550305,452697,0.2156
Ohio,539993,541645,-0.003
Colorado,535622,443691,0.2072
Pennsylvania,533698,499925,0.0676
Ohio,531948,535597,-0.0068
Illinois,531452,516068,0.0298
Massachusetts,529542,495926,0.0678
Kansas,523716,499128,0.0493
Idaho,520056,393354,0.3221
Arizona,510738,379094,0.3473
Washington,508683,426704,0.1921
New Jersey,506825,513275,-0.0126
Iowa,503145,432352,0.1637
New Jersey,497755,502023,-0.0085
Nevada,493014,421954,0.1684
Indiana,488652,495947,-0.0147
New Jersey,488170,492617,-0.009
Florida,482938,423051,0.1416
Virginia,482635,406169,0.1883
Tennessee,482478,432938,0.1144
California,481415,484755,-0.0069
New York,475792,469615,0.0132
California,471013,442969,0.0633
Massachusetts,460324,464237,-0.0084
New York,457165,467533,-0.0222
Florida,455981,379930,0.2002
California,453397,413967,0.0952
Pennsylvania,452691,435413,0.0397
Virginia,450349,438859,0.0262
California,448656,424231,0.0576
New Jersey,447161,449129,-0.0044
Minnesota,440964,399211,0.1046
Virginia,437586,315478,0.3871
California,434394,416373,0.0433
Louisiana,434062,440912,-0.0155
Florida,429851,323424,0.3291
Louisiana,428320,432610,-0.0099
South Carolina,426958,350940,0.2166
Oregon,426500,376788,0.1319
Texas,426235,407630,0.0456
Ohio,424556,441434,-0.0382
New Hampshire,424210,401055,0.0577
Pennsylvania,423069,412039,0.0268
South Carolina,420430,385735,0.0899
California,416326,350021,0.1894
Missouri,411748,361803,0.138
Alabama,411116,413315,-0.0053
Wisconsin,409226,390028,0.0492
Florida,405005,322581,0.2555
Michigan,403188,424953,-0.0512
Florida,398312,297709,0.3379
Florida,397636,269837,0.4736
New York,393382,373445,0.0534
Oregon,392621,351920,0.1157
Indiana,391959,355945,0.1012
Arkansas,391890,383538,0.0218
North Carolina,391532,351374,0.1143
Alabama,390624,336095,0.1622
Texas,390395,314428,0.2416
Louisiana,387564,347772,0.1144
Ohio,386536,369102,0.0472
Texas,385505,312849,0.2322
Florida,385130,331331,0.1624
South Carolina,384009,270274,0.4208
Tennessee,378337,337214,0.1219
Colorado,375649,286977,0.309
Colorado,375616,300441,0.2502
Pennsylvania,372195,350164,0.0629
Ohio,368680,375372,-0.0178
Utah,368621,307910,0.1972
